experience_years,test_score,interview_score,communication,performance_score,hire_decision,degree,city,application_source,hobby,preferred_language
1.83,74,6,2,53,Hold,MBA,Bangalore,LinkedIn,Reading,Spanish
0.2,68,8,9,70,Hire,M.Tech,Delhi,Indeed,Sports,English
1.37,67,9,8,62,Hold,MBA,Delhi,Indeed,Music,French
7.82,63,8,5,59,Hold,MBA,Mumbai,LinkedIn,Music,German
4.83,81,7,1,54,Hold,B.Tech,Kolkata,Campus,Travel,English
3.85,27,7,1,38,Reject,BCA,Mumbai,LinkedIn,Gaming,French
6.69,39,8,8,65,Hold,MCA,Delhi,Indeed,Reading,German
11.92,66,2,9,54,Hold,M.Tech,Bangalore,Website,Photography,French
10.01,39,1,9,48,Reject,B.Sc,Kolkata,Website,Travel,Hindi
8.4,99,9,9,80,Hire,B.Tech,Chennai,LinkedIn,Reading,English
11.02,78,2,10,68,Hold,BCA,Mumbai,Indeed,Travel,French
0.48,80,8,2,63,Hold,B.Tech,Chennai,Indeed,Photography,German
0.84,73,2,8,41,Reject,M.Tech,Kolkata,Website,Photography,French
5.69,33,5,3,28,Reject,B.Tech,Hyderabad,Website,Sports,Spanish
4.19,50,8,3,46,Reject,MCA,Kolkata,Website,Travel,German
11.25,48,6,10,65,Hold,MCA,Hyderabad,Campus,Sports,English
5.87,22,8,1,26,Reject,B.Tech,Kolkata,Indeed,Reading,English
6.48,95,5,4,63,Hold,B.Sc,Bangalore,Campus,Travel,English
10.74,63,10,2,61,Hold,MBA,Delhi,Referral,Reading,English
5.36,49,6,5,39,Reject,MCA,Pune,LinkedIn,Sports,German
10.52,99,3,8,61,Hold,MCA,Mumbai,Website,Travel,Spanish
3.04,67,10,1,62,Hold,BCA,Bangalore,Indeed,Travel,German
3.29,54,10,5,51,Hold,BCA,Pune,Referral,Gaming,Spanish
3.94,48,4,7,57,Hold,MCA,Chennai,Campus,Sports,German
6.57,29,1,5,22,Reject,M.Tech,Delhi,Indeed,Gaming,English
2.64,72,5,2,43,Reject,B.Sc,Pune,Website,Sports,Hindi
8.06,44,9,8,62,Hold,M.Tech,Pune,LinkedIn,Gaming,French
1.71,92,1,4,57,Hold,MCA,Pune,Referral,Gaming,French
1.13,20,9,8,44,Reject,B.Sc,Kolkata,LinkedIn,Gaming,Hindi
10.44,43,4,9,56,Hold,MBA,Delhi,LinkedIn,Travel,Spanish
2.84,36,1,5,25,Reject,B.Tech,Hyderabad,LinkedIn,Gaming,French
4.63,34,8,6,49,Reject,B.Sc,Hyderabad,Website,Photography,Spanish
6.86,63,5,2,40,Reject,B.Tech,Chennai,Campus,Sports,German
6.31,26,2,10,47,Reject,BCA,Delhi,Referral,Photography,Spanish
0.91,95,7,6,69,Hold,MCA,Chennai,Campus,Gaming,French
10.49,56,2,1,46,Reject,MBA,Bangalore,Campus,Music,French
11.41,61,9,2,57,Hold,B.Sc,Pune,Website,Sports,French
9.75,41,2,3,29,Reject,M.Tech,Hyderabad,Website,Sports,Hindi
3.41,21,6,1,37,Reject,BCA,Chennai,Indeed,Gaming,French
6.33,54,6,8,60,Hold,B.Tech,Mumbai,Campus,Gaming,French
4.07,91,3,10,74,Hire,B.Sc,Chennai,Referral,Travel,German
6.66,34,10,5,51,Hold,MCA,Mumbai,Campus,Sports,English
11.69,23,9,10,49,Reject,MBA,Chennai,LinkedIn,Travel,English
3.74,29,2,4,20,Reject,M.Tech,Pune,Website,Gaming,English
8.03,64,7,6,68,Hold,BCA,Mumbai,LinkedIn,Sports,Hindi
3.91,45,9,6,45,Reject,BCA,Kolkata,Campus,Gaming,German
9.29,68,9,5,58,Hold,M.Tech,Pune,LinkedIn,Travel,Hindi
3.91,89,8,4,62,Hold,B.Sc,Chennai,Campus,Gaming,German
10.68,97,1,2,64,Hold,M.Tech,Delhi,Website,Travel,Hindi
9.02,54,10,10,87,Hire,B.Sc,Delhi,LinkedIn,Sports,Hindi
9.15,95,2,1,52,Hold,B.Sc,Delhi,LinkedIn,Photography,French
5.63,59,8,6,64,Hold,BCA,Pune,Referral,Travel,German
2.53,47,4,10,51,Hold,MCA,Pune,Referral,Music,English
0.5,33,6,10,42,Reject,M.Tech,Pune,Referral,Reading,French
3.86,65,7,8,67,Hold,B.Tech,Delhi,Referral,Reading,French
0.45,38,4,3,27,Reject,MCA,Hyderabad,Indeed,Photography,Hindi
8.33,21,5,3,26,Reject,BCA,Hyderabad,Campus,Reading,Hindi
8.04,57,7,10,71,Hire,BCA,Pune,LinkedIn,Music,French
5.17,88,9,9,82,Hire,B.Tech,Mumbai,Website,Reading,English
9.21,40,9,4,50,Hold,MBA,Mumbai,Referral,Music,Hindi
6.43,50,9,2,44,Reject,MCA,Pune,LinkedIn,Gaming,English
0.48,31,9,3,31,Reject,MCA,Kolkata,Campus,Gaming,French
1.62,61,8,2,56,Hold,B.Tech,Kolkata,LinkedIn,Gaming,French
2.32,95,9,8,72,Hire,MBA,Pune,Indeed,Gaming,German
4.03,92,6,9,73,Hire,BCA,Delhi,Website,Music,English
0.63,25,1,10,22,Reject,B.Sc,Bangalore,LinkedIn,Gaming,English
7.26,63,7,4,52,Hold,M.Tech,Kolkata,Referral,Gaming,French
6.14,57,7,5,55,Hold,MCA,Pune,LinkedIn,Gaming,Spanish
7.41,95,5,5,75,Hire,MBA,Pune,Indeed,Reading,Spanish
5.19,59,1,5,52,Hold,M.Tech,Delhi,Indeed,Photography,German
10.17,53,9,2,44,Reject,M.Tech,Bangalore,Campus,Gaming,German
5.45,34,6,4,34,Reject,BCA,Pune,LinkedIn,Travel,Hindi
0.18,97,1,10,60,Hold,M.Tech,Kolkata,Website,Photography,English
10.48,37,4,3,32,Reject,MCA,Mumbai,Website,Music,English
7.87,92,6,7,70,Hire,M.Tech,Chennai,LinkedIn,Gaming,French
9.88,56,2,6,43,Reject,BCA,Kolkata,Indeed,Photography,German
11.42,82,6,1,73,Hire,B.Tech,Delhi,Website,Travel,German
0.61,32,2,6,37,Reject,B.Sc,Pune,LinkedIn,Sports,German
2.82,99,5,9,78,Hire,MBA,Pune,Campus,Sports,French
0.76,77,1,8,58,Hold,MBA,Chennai,LinkedIn,Reading,French
5.06,43,7,2,38,Reject,M.Tech,Pune,LinkedIn,Gaming,Spanish
10.37,51,1,7,41,Reject,MCA,Hyderabad,LinkedIn,Gaming,Spanish
0.98,39,5,4,43,Reject,MCA,Mumbai,Referral,Music,German
5.68,71,4,2,30,Reject,B.Sc,Mumbai,Referral,Music,English
1.51,88,10,4,72,Hire,MCA,Pune,Campus,Reading,English
9.27,35,1,8,50,Hold,MCA,Delhi,Campus,Sports,French
10.1,58,7,6,50,Hold,B.Tech,Mumbai,Referral,Reading,French
0.52,74,10,9,71,Hire,B.Sc,Mumbai,Website,Gaming,English
5.84,87,1,7,57,Hold,B.Sc,Hyderabad,LinkedIn,Photography,Spanish
2.87,63,9,5,58,Hold,MBA,Kolkata,Campus,Reading,German
11.43,52,2,5,36,Reject,B.Sc,Delhi,Referral,Sports,Spanish
11.33,92,5,4,65,Hold,B.Sc,Kolkata,Referral,Travel,French
7.37,53,3,8,53,Hold,MCA,Bangalore,Referral,Travel,Hindi
11.68,56,6,7,60,Hold,B.Sc,Pune,Campus,Reading,French
4.14,32,6,1,31,Reject,MCA,Mumbai,Campus,Reading,Spanish
10.77,74,2,8,55,Hold,B.Sc,Chennai,Campus,Reading,English
5.22,55,3,5,49,Reject,M.Tech,Chennai,Website,Photography,English
2.83,30,8,4,47,Reject,MCA,Hyderabad,Campus,Travel,English
11.29,87,4,8,52,Hold,MCA,Delhi,Referral,Photography,German
8.21,50,1,9,53,Hold,MCA,Mumbai,LinkedIn,Sports,Hindi
0.78,86,8,4,51,Hold,MBA,Mumbai,Referral,Gaming,German
10.45,58,4,8,57,Hold,B.Tech,Delhi,LinkedIn,Music,Hindi
8.42,50,3,8,47,Reject,B.Sc,Bangalore,Website,Music,English
7.26,64,7,3,66,Hold,B.Sc,Kolkata,Referral,Reading,French
8.79,84,7,8,84,Hire,B.Tech,Mumbai,Indeed,Photography,French
3.04,36,1,6,23,Reject,B.Tech,Hyderabad,Website,Photography,Hindi
7.21,95,9,9,79,Hire,MCA,Mumbai,Campus,Gaming,Spanish
9.78,87,9,8,93,Hire,MBA,Bangalore,Campus,Photography,English
0.65,51,5,7,40,Reject,B.Tech,Pune,LinkedIn,Travel,Spanish
1.57,20,5,8,46,Reject,MCA,Mumbai,Campus,Travel,Hindi
10.11,43,2,10,60,Hold,B.Tech,Kolkata,Referral,Photography,French
7.42,97,7,9,85,Hire,MBA,Hyderabad,Referral,Music,French
6.38,29,9,9,47,Reject,BCA,Pune,Campus,Gaming,Hindi
2.98,47,6,2,34,Reject,BCA,Mumbai,Indeed,Reading,French
3.54,59,10,10,63,Hold,BCA,Pune,Indeed,Reading,French
10.47,37,5,6,42,Reject,MCA,Hyderabad,Website,Sports,Hindi
5.06,95,6,1,58,Hold,B.Tech,Mumbai,Campus,Gaming,English
0.77,82,4,8,60,Hold,B.Sc,Mumbai,Indeed,Photography,Hindi
10.76,57,6,8,70,Hire,MBA,Bangalore,Campus,Photography,French
2.44,80,8,9,70,Hire,MBA,Pune,Website,Photography,English
9.91,63,1,10,56,Hold,B.Tech,Mumbai,Campus,Sports,Hindi
10.58,61,1,6,46,Reject,B.Sc,Bangalore,LinkedIn,Sports,Hindi
5.84,58,9,10,64,Hold,B.Tech,Chennai,Campus,Sports,Spanish
7.18,36,3,4,40,Reject,MBA,Bangalore,Referral,Photography,German
6.33,38,1,8,37,Reject,BCA,Hyderabad,Indeed,Gaming,Hindi
7.5,85,9,9,82,Hire,B.Sc,Kolkata,LinkedIn,Gaming,German
10.26,29,7,10,55,Hold,B.Tech,Chennai,LinkedIn,Reading,English
3.39,34,1,5,32,Reject,B.Tech,Hyderabad,Referral,Reading,Spanish
10.61,75,7,4,58,Hold,BCA,Chennai,Referral,Music,Hindi
6.81,50,5,7,46,Reject,B.Tech,Chennai,LinkedIn,Travel,Hindi
1.38,27,7,1,30,Reject,BCA,Kolkata,Referral,Photography,English
2.72,23,7,6,43,Reject,B.Sc,Hyderabad,LinkedIn,Reading,German
7.15,41,5,1,20,Reject,MCA,Chennai,Indeed,Photography,Spanish
2.87,93,9,7,89,Hire,B.Sc,Chennai,Campus,Reading,Hindi
1.58,42,2,2,24,Reject,B.Tech,Pune,LinkedIn,Music,Hindi
1.94,32,4,3,33,Reject,MCA,Kolkata,Website,Music,German
10.14,35,4,6,49,Reject,BCA,Bangalore,Campus,Sports,French
7.23,66,7,10,78,Hire,M.Tech,Mumbai,Website,Travel,French
11.56,56,4,3,54,Hold,B.Sc,Hyderabad,Referral,Travel,English
4.15,49,1,9,38,Reject,MBA,Bangalore,LinkedIn,Music,Hindi
7.15,91,2,3,56,Hold,MBA,Kolkata,Campus,Sports,German
7.19,61,10,1,52,Hold,B.Tech,Kolkata,LinkedIn,Reading,German
7.39,60,10,6,58,Hold,BCA,Bangalore,Website,Photography,German
0.71,94,9,6,76,Hire,M.Tech,Mumbai,Indeed,Gaming,Hindi
9.0,92,6,1,63,Hold,B.Sc,Pune,LinkedIn,Gaming,Hindi
11.38,79,5,5,72,Hire,BCA,Pune,Campus,Reading,German
6.42,77,7,6,75,Hire,MCA,Bangalore,Referral,Music,French
2.31,21,4,10,39,Reject,BCA,Pune,Campus,Photography,Hindi
9.04,40,3,2,35,Reject,MBA,Kolkata,Indeed,Travel,English
0.09,37,1,8,42,Reject,M.Tech,Mumbai,Indeed,Travel,English
3.94,52,8,2,32,Reject,B.Sc,Pune,Website,Photography,Hindi
11.01,21,5,9,46,Reject,MBA,Chennai,Indeed,Photography,English
7.06,54,7,2,54,Hold,B.Sc,Kolkata,LinkedIn,Reading,German
10.26,66,5,8,58,Hold,M.Tech,Delhi,Website,Photography,Spanish
7.26,60,10,4,58,Hold,BCA,Pune,Referral,Reading,French
9.87,41,1,10,47,Reject,MBA,Bangalore,Website,Reading,Spanish
10.55,84,1,7,65,Hold,BCA,Kolkata,LinkedIn,Reading,English
3.85,38,3,7,35,Reject,BCA,Hyderabad,Website,Reading,Spanish
1.48,37,10,8,62,Hold,MBA,Delhi,Indeed,Music,English
8.66,70,6,4,63,Hold,B.Tech,Chennai,Campus,Music,French
5.28,36,5,9,42,Reject,MCA,Pune,Referral,Travel,Spanish
1.52,51,10,3,55,Hold,MCA,Pune,Indeed,Photography,German
7.08,39,7,8,56,Hold,MBA,Pune,Referral,Photography,German
0.43,99,3,3,53,Hold,MCA,Bangalore,Campus,Reading,Spanish
2.4,60,2,3,35,Reject,BCA,Hyderabad,Indeed,Gaming,English
9.46,50,7,5,48,Reject,M.Tech,Bangalore,LinkedIn,Travel,Spanish
0.15,73,4,5,53,Hold,BCA,Chennai,LinkedIn,Reading,French
3.64,85,4,2,64,Hold,B.Tech,Chennai,Referral,Travel,Spanish
0.26,70,10,2,51,Hold,M.Tech,Delhi,LinkedIn,Sports,Spanish
11.97,23,5,6,45,Reject,B.Tech,Delhi,Campus,Photography,Hindi
6.98,48,7,8,61,Hold,MCA,Chennai,LinkedIn,Travel,Spanish
3.52,35,1,2,23,Reject,BCA,Mumbai,Indeed,Photography,Spanish
11.15,93,5,9,78,Hire,B.Sc,Kolkata,Indeed,Music,German
6.09,61,7,4,51,Hold,BCA,Kolkata,Campus,Music,French
5.46,61,3,9,54,Hold,MBA,Kolkata,Indeed,Reading,English
7.05,71,9,6,65,Hold,B.Tech,Delhi,Indeed,Gaming,French
3.17,63,7,7,57,Hold,B.Sc,Hyderabad,Indeed,Music,German
3.66,84,2,6,49,Reject,B.Sc,Bangalore,Indeed,Sports,English
4.46,94,5,5,75,Hire,B.Tech,Delhi,Referral,Travel,French
2.93,67,5,2,47,Reject,BCA,Delhi,Referral,Gaming,Hindi
7.01,49,2,6,35,Reject,M.Tech,Pune,Referral,Travel,Spanish
8.35,96,3,4,67,Hold,MBA,Bangalore,Website,Reading,Spanish
0.86,73,4,5,47,Reject,MCA,Pune,LinkedIn,Travel,Spanish
11.65,21,8,6,41,Reject,MBA,Hyderabad,Campus,Gaming,French
9.04,90,5,7,69,Hold,BCA,Kolkata,LinkedIn,Photography,French
9.67,55,7,6,54,Hold,M.Tech,Pune,Campus,Sports,Spanish
9.02,23,5,3,37,Reject,B.Sc,Hyderabad,Indeed,Gaming,French
0.96,23,8,6,45,Reject,M.Tech,Pune,LinkedIn,Travel,Hindi
5.78,26,5,9,48,Reject,MCA,Pune,Referral,Travel,Hindi
5.35,26,5,3,40,Reject,BCA,Hyderabad,Campus,Sports,French
8.07,55,8,4,54,Hold,BCA,Chennai,Indeed,Sports,German
5.38,80,9,1,45,Reject,B.Sc,Bangalore,LinkedIn,Music,German
8.45,49,8,1,39,Reject,M.Tech,Bangalore,Indeed,Travel,English
8.18,96,4,10,75,Hire,M.Tech,Hyderabad,Referral,Sports,French
8.37,95,6,6,73,Hire,B.Sc,Kolkata,Indeed,Travel,German
7.42,61,10,10,72,Hire,M.Tech,Pune,Campus,Photography,Spanish
1.81,27,6,9,41,Reject,B.Tech,Delhi,Campus,Gaming,German
9.13,61,8,3,55,Hold,B.Tech,Chennai,Campus,Gaming,French
9.37,51,5,4,54,Hold,MCA,Mumbai,LinkedIn,Gaming,Spanish
10.85,53,7,10,71,Hire,MCA,Kolkata,Website,Music,Spanish
2.81,34,4,6,41,Reject,B.Tech,Mumbai,Indeed,Sports,English
2.12,87,2,5,50,Hold,B.Tech,Hyderabad,LinkedIn,Travel,German
4.69,30,2,7,40,Reject,B.Tech,Pune,LinkedIn,Music,French
3.85,96,9,2,72,Hire,M.Tech,Delhi,Indeed,Travel,English
9.79,69,2,2,53,Hold,BCA,Pune,Campus,Sports,Spanish
7.36,39,3,6,49,Reject,B.Sc,Delhi,Website,Reading,Spanish
9.12,40,6,9,61,Hold,B.Sc,Chennai,Website,Travel,Hindi
5.13,74,8,3,60,Hold,M.Tech,Kolkata,LinkedIn,Travel,English
1.19,93,3,10,68,Hold,B.Tech,Chennai,Campus,Music,Spanish
1.38,90,7,8,63,Hold,B.Sc,Chennai,Website,Music,Spanish
4.48,58,4,10,58,Hold,B.Sc,Hyderabad,Indeed,Sports,German
2.33,55,8,6,46,Reject,B.Tech,Mumbai,Referral,Gaming,Spanish
9.85,70,7,1,59,Hold,B.Tech,Bangalore,Campus,Travel,English
7.2,72,8,3,62,Hold,BCA,Hyderabad,Indeed,Sports,Hindi
8.27,61,10,9,68,Hold,B.Tech,Pune,Indeed,Reading,Hindi
5.89,32,6,8,49,Reject,B.Sc,Delhi,LinkedIn,Music,Spanish
1.06,78,9,8,74,Hire,M.Tech,Hyderabad,Indeed,Travel,Spanish
2.82,48,4,10,52,Hold,MCA,Pune,Campus,Sports,German
5.54,90,10,8,84,Hire,M.Tech,Pune,Campus,Photography,French
2.38,62,3,10,52,Hold,B.Tech,Mumbai,Campus,Travel,Spanish
0.31,44,5,10,50,Hold,B.Tech,Chennai,Campus,Reading,German
8.75,24,5,9,57,Hold,BCA,Delhi,LinkedIn,Music,Hindi
8.7,44,5,7,52,Hold,M.Tech,Chennai,LinkedIn,Sports,English
3.96,93,3,8,76,Hire,B.Sc,Bangalore,Indeed,Gaming,French
10.12,48,9,2,65,Hold,BCA,Chennai,Referral,Photography,French
5.14,76,8,7,63,Hold,M.Tech,Pune,Indeed,Photography,French
10.38,34,1,5,45,Reject,MCA,Chennai,Indeed,Reading,English
7.88,29,4,5,26,Reject,M.Tech,Mumbai,Website,Reading,German
6.97,39,5,6,53,Hold,M.Tech,Chennai,Referral,Music,English
2.41,84,1,5,47,Reject,MCA,Pune,Referral,Sports,French
6.35,92,1,2,47,Reject,M.Tech,Bangalore,Website,Photography,Hindi
10.73,20,6,10,62,Hold,BCA,Mumbai,Website,Photography,Spanish
3.66,57,5,10,59,Hold,BCA,Pune,LinkedIn,Sports,Hindi
10.45,61,10,4,62,Hold,MBA,Bangalore,Campus,Music,French
10.9,49,2,6,35,Reject,B.Sc,Delhi,Referral,Music,Hindi
3.96,75,8,10,66,Hold,M.Tech,Kolkata,Indeed,Reading,English
8.2,69,10,7,71,Hire,B.Sc,Bangalore,Campus,Sports,Hindi
10.79,38,9,9,66,Hold,BCA,Kolkata,Indeed,Travel,German
0.91,35,8,9,61,Hold,M.Tech,Pune,Indeed,Reading,German
10.54,77,10,6,66,Hold,B.Tech,Kolkata,Website,Photography,German
2.29,79,1,5,57,Hold,B.Sc,Delhi,Website,Photography,French
10.2,60,8,6,56,Hold,BCA,Hyderabad,Campus,Photography,Spanish
8.01,92,8,4,75,Hire,B.Tech,Mumbai,Campus,Reading,Hindi
4.13,52,4,8,41,Reject,MCA,Hyderabad,Referral,Gaming,Spanish
1.82,80,3,3,42,Reject,M.Tech,Kolkata,Referral,Music,French
7.62,61,4,4,46,Reject,MCA,Hyderabad,Campus,Music,Spanish
10.17,79,1,6,66,Hold,B.Tech,Bangalore,Website,Sports,French
9.86,81,10,3,64,Hold,B.Tech,Delhi,Website,Sports,German
7.54,57,4,4,44,Reject,B.Sc,Pune,Referral,Reading,German
11.48,42,5,3,41,Reject,M.Tech,Kolkata,Campus,Reading,French
7.08,67,9,10,69,Hold,M.Tech,Chennai,LinkedIn,Travel,French
2.37,33,5,6,39,Reject,MBA,Hyderabad,Indeed,Sports,German
5.15,43,9,10,61,Hold,M.Tech,Mumbai,Indeed,Music,Hindi
4.04,93,9,4,71,Hire,BCA,Delhi,Indeed,Photography,German
11.9,47,1,3,40,Reject,BCA,Hyderabad,Indeed,Reading,English
4.56,22,2,2,20,Reject,B.Tech,Chennai,Referral,Music,Spanish
11.91,73,8,8,80,Hire,BCA,Kolkata,LinkedIn,Travel,French
6.23,28,7,2,32,Reject,MBA,Kolkata,Campus,Travel,Spanish
2.07,25,8,1,42,Reject,MCA,Mumbai,Indeed,Photography,Hindi
0.89,100,3,2,51,Hold,B.Sc,Mumbai,Campus,Reading,German
4.44,30,5,7,42,Reject,MCA,Chennai,LinkedIn,Gaming,French
1.48,90,6,5,58,Hold,BCA,Kolkata,Indeed,Reading,German
7.61,60,6,5,55,Hold,B.Tech,Delhi,Campus,Photography,English
4.97,85,1,10,64,Hold,M.Tech,Hyderabad,Campus,Travel,German
11.89,55,6,5,59,Hold,MBA,Chennai,Website,Photography,English
11.16,92,8,6,78,Hire,B.Sc,Mumbai,Referral,Music,German
1.79,85,1,3,49,Reject,B.Sc,Pune,Website,Music,German
4.74,71,8,1,39,Reject,M.Tech,Kolkata,LinkedIn,Photography,German
5.54,59,3,10,57,Hold,M.Tech,Bangalore,Indeed,Reading,German
6.73,87,10,2,66,Hold,M.Tech,Chennai,Website,Travel,Spanish
9.36,47,6,8,61,Hold,M.Tech,Chennai,Indeed,Photography,French
5.85,71,8,6,61,Hold,MBA,Delhi,Campus,Travel,Spanish
5.04,56,7,7,59,Hold,M.Tech,Bangalore,Referral,Travel,Spanish
3.14,88,4,9,73,Hire,B.Tech,Kolkata,Indeed,Reading,French
10.93,27,2,5,40,Reject,MCA,Chennai,LinkedIn,Reading,English
0.27,46,5,1,32,Reject,B.Tech,Chennai,Campus,Reading,Hindi
9.85,58,9,8,66,Hold,B.Tech,Hyderabad,Referral,Sports,Hindi
2.26,28,2,1,20,Reject,B.Sc,Hyderabad,Website,Gaming,Spanish
8.23,30,9,3,40,Reject,MCA,Mumbai,Website,Reading,French
4.26,83,9,5,80,Hire,B.Tech,Bangalore,LinkedIn,Gaming,Spanish
11.69,35,6,1,23,Reject,MCA,Delhi,Referral,Music,Hindi
1.47,99,3,7,69,Hold,B.Tech,Kolkata,Website,Sports,Hindi
2.25,78,1,9,55,Hold,M.Tech,Bangalore,Indeed,Gaming,German
10.67,41,6,1,48,Reject,B.Sc,Hyderabad,Website,Sports,Spanish
7.0,25,6,6,45,Reject,M.Tech,Kolkata,Campus,Travel,Spanish
3.71,21,6,1,28,Reject,MCA,Chennai,Campus,Sports,French
0.01,34,9,8,49,Reject,B.Sc,Bangalore,LinkedIn,Travel,German
2.73,100,5,4,67,Hold,MCA,Mumbai,Website,Sports,Hindi
1.74,54,3,6,55,Hold,B.Sc,Delhi,Referral,Sports,German
2.44,55,2,2,23,Reject,M.Tech,Pune,Website,Travel,German
10.76,58,8,3,53,Hold,B.Sc,Chennai,Campus,Music,English
10.48,77,10,4,66,Hold,MCA,Hyderabad,LinkedIn,Reading,Hindi
8.4,27,3,6,38,Reject,M.Tech,Bangalore,Referral,Music,Spanish
5.65,76,5,6,61,Hold,B.Sc,Delhi,Website,Travel,German
9.93,100,7,7,80,Hire,B.Tech,Bangalore,Campus,Sports,Hindi
5.95,37,10,3,50,Hold,B.Sc,Mumbai,Website,Sports,Hindi
4.36,64,5,6,51,Hold,B.Tech,Pune,Indeed,Music,German
3.31,96,7,4,75,Hire,B.Tech,Pune,Website,Travel,French
11.1,91,5,1,56,Hold,B.Tech,Hyderabad,Website,Music,French
4.64,72,7,9,76,Hire,B.Tech,Bangalore,Website,Music,German
5.91,53,2,1,31,Reject,MCA,Pune,LinkedIn,Reading,English
3.05,58,7,1,50,Hold,BCA,Mumbai,Referral,Music,Spanish
10.62,99,5,4,71,Hire,MCA,Delhi,Campus,Photography,Spanish
4.6,49,8,6,54,Hold,MCA,Hyderabad,Indeed,Music,Spanish
3.57,24,3,6,26,Reject,B.Sc,Delhi,LinkedIn,Gaming,English
8.61,79,3,7,70,Hire,MCA,Kolkata,Referral,Reading,German
2.29,51,8,7,53,Hold,B.Sc,Pune,LinkedIn,Gaming,Spanish
1.42,97,4,5,67,Hold,MCA,Kolkata,Referral,Reading,English
10.04,28,4,9,56,Hold,M.Tech,Pune,LinkedIn,Gaming,Hindi
8.93,48,2,4,43,Reject,BCA,Mumbai,Indeed,Sports,French
7.09,25,1,9,46,Reject,B.Tech,Pune,Website,Gaming,French
2.91,87,7,1,68,Hold,B.Tech,Hyderabad,Referral,Travel,Spanish
7.48,71,7,7,78,Hire,MBA,Kolkata,Indeed,Music,Spanish
7.66,67,9,7,67,Hold,MBA,Bangalore,Referral,Photography,French
3.93,60,8,3,55,Hold,B.Sc,Hyderabad,Campus,Gaming,Spanish
0.81,37,1,8,28,Reject,B.Sc,Delhi,Website,Travel,German
10.57,56,10,8,69,Hold,BCA,Pune,Website,Photography,French
5.52,67,7,7,62,Hold,B.Sc,Delhi,Referral,Photography,German
9.17,71,2,4,49,Reject,M.Tech,Mumbai,Campus,Reading,Hindi
3.05,45,3,3,39,Reject,M.Tech,Bangalore,Referral,Sports,English
7.1,95,4,3,57,Hold,M.Tech,Pune,LinkedIn,Photography,French
5.15,85,10,9,80,Hire,B.Sc,Kolkata,Referral,Gaming,German
4.59,31,3,4,43,Reject,MBA,Delhi,Referral,Sports,Hindi
1.52,36,8,6,48,Reject,BCA,Pune,Website,Sports,German
2.93,92,2,9,64,Hold,MCA,Hyderabad,Website,Photography,Hindi
0.95,86,7,10,79,Hire,BCA,Kolkata,Indeed,Travel,English
3.63,51,7,9,59,Hold,BCA,Hyderabad,Website,Sports,German
8.9,26,7,5,47,Reject,B.Tech,Pune,Campus,Reading,English
7.38,33,9,8,53,Hold,BCA,Hyderabad,Indeed,Travel,Hindi
8.07,58,5,7,54,Hold,B.Tech,Chennai,Indeed,Music,German
0.1,24,7,8,39,Reject,MCA,Bangalore,LinkedIn,Gaming,German
8.14,49,3,6,42,Reject,B.Tech,Mumbai,Referral,Photography,German
6.04,40,7,3,41,Reject,B.Sc,Kolkata,Indeed,Gaming,Hindi
2.77,74,4,3,54,Hold,B.Tech,Mumbai,Indeed,Music,English
2.1,80,5,1,50,Hold,B.Sc,Hyderabad,Website,Travel,English
2.22,42,7,3,49,Reject,B.Tech,Mumbai,Website,Travel,Hindi
10.13,49,3,5,33,Reject,B.Tech,Pune,LinkedIn,Photography,French
11.79,49,6,3,55,Hold,B.Sc,Hyderabad,Campus,Reading,English
10.96,80,2,3,58,Hold,BCA,Pune,Website,Photography,French
4.17,59,3,1,30,Reject,MBA,Pune,Referral,Music,German
9.36,69,3,1,53,Hold,MBA,Chennai,Referral,Gaming,Hindi
6.56,98,1,3,53,Hold,M.Tech,Hyderabad,LinkedIn,Photography,Hindi
9.8,86,5,9,78,Hire,MCA,Bangalore,Referral,Travel,Hindi
5.8,45,5,2,34,Reject,M.Tech,Kolkata,Website,Music,French
7.08,85,4,3,50,Hold,MBA,Delhi,LinkedIn,Sports,Hindi
9.45,79,4,8,58,Hold,M.Tech,Bangalore,LinkedIn,Travel,Spanish
1.2,99,4,8,54,Hold,MCA,Chennai,Indeed,Travel,English
6.44,80,8,7,73,Hire,MBA,Bangalore,Campus,Photography,German
4.39,69,7,6,65,Hold,B.Tech,Bangalore,Referral,Reading,English
7.25,91,10,4,65,Hold,B.Sc,Hyderabad,LinkedIn,Sports,English
11.51,74,9,6,69,Hold,MBA,Hyderabad,Indeed,Gaming,Spanish
4.71,89,2,2,58,Hold,M.Tech,Chennai,LinkedIn,Reading,French
4.72,62,10,5,54,Hold,B.Tech,Pune,Campus,Music,German
9.49,35,10,3,46,Reject,MBA,Delhi,Campus,Music,German
7.74,56,4,9,65,Hold,B.Tech,Kolkata,Referral,Reading,French
4.73,58,5,5,51,Hold,B.Sc,Kolkata,Referral,Sports,English
8.27,62,8,10,66,Hold,B.Tech,Mumbai,LinkedIn,Reading,Spanish
4.85,59,8,5,46,Reject,M.Tech,Kolkata,Campus,Music,French
1.63,71,8,10,76,Hire,MCA,Kolkata,Indeed,Gaming,English
5.41,70,10,4,72,Hire,MBA,Bangalore,Indeed,Sports,French
4.01,30,2,1,20,Reject,MBA,Pune,Campus,Sports,Spanish
2.62,32,6,8,55,Hold,M.Tech,Delhi,LinkedIn,Reading,English
11.11,76,1,8,61,Hold,BCA,Chennai,Indeed,Photography,French
